# Data for variant /tmp/rand_160000_10000_5_1000/None
1 6.833882491626478e-4 6.833882491626478e-4 6.833882491626478e-4 
2 1.3641965133711666e-3 1.3641965133711666e-3 1.3641965133711666e-3 
4 3.0921635537463576e-3 3.0921635537463576e-3 3.0921635537463576e-3 
