# Data for variant /tmp/rand_160000_40000_5_1000/None
1 5.335560064959983e-3 5.335560064959983e-3 5.335560064959983e-3 
2 1.1229639010396138e-2 1.1229639010396138e-2 1.1229639010396138e-2 
4 2.5156504432784513e-2 2.5156504432784513e-2 2.5156504432784513e-2 
