# Data for variant /tmp/rand_40000_20000_5_1000/None
1 0.11475545137914527 0.11475545137914527 0.11475545137914527 
2 0.23538175046554935 0.23538175046554935 0.23538175046554935 
4 0.6008643042350907 0.6008643042350907 0.6008643042350907 
