# Data for variant /tmp/rand_40000_10000_5_1000/None
1 5.744111088067832e-3 5.744111088067832e-3 5.744111088067832e-3 
2 1.1677556985201483e-2 1.1677556985201483e-2 1.1677556985201483e-2 
4 3.1594399174691756e-2 3.1594399174691756e-2 3.1594399174691756e-2 
