# Data for variant /tmp/rand_80000_10000_5_1000/None
1 7.470108016773357e-4 7.470108016773357e-4 7.470108016773357e-4 
2 1.564263861072128e-3 1.564263861072128e-3 1.564263861072128e-3 
4 3.979204193504259e-3 3.979204193504259e-3 3.979204193504259e-3 
