# Data for variant /tmp/rand_80000_10000_5_10000/None
1 7.639981310179208e-5 7.639981310179208e-5 7.639981310179208e-5 
2 1.559301617694682e-4 1.559301617694682e-4 1.559301617694682e-4 
4 3.415866404639446e-4 3.415866404639446e-4 3.415866404639446e-4 
