# Data for variant /tmp/rand_40000_10000_5_10000/None
1 5.697090017873882e-4 5.697090017873882e-4 5.697090017873882e-4 
2 1.2556290634780818e-3 1.2556290634780818e-3 1.2556290634780818e-3 
4 2.8469307858380757e-3 2.8469307858380757e-3 2.8469307858380757e-3 
