# Data for variant /tmp/rand_40000_20000_5_10000/None
1 1.160961500566119e-2 1.160961500566119e-2 1.160961500566119e-2 
2 2.519497840016236e-2 2.519497840016236e-2 2.519497840016236e-2 
4 5.318603637031313e-2 5.318603637031313e-2 5.318603637031313e-2 
