# Data for variant /tmp/rand_80000_20000_5_1000/None
1 5.496864525851947e-3 5.496864525851947e-3 5.496864525851947e-3 
2 1.113551142142753e-2 1.113551142142753e-2 1.113551142142753e-2 
4 3.58762907878644e-2 3.58762907878644e-2 3.58762907878644e-2 
