# Data for variant /tmp/rand_160000_20000_5_1000/None
1 4.70141707283903e-4 4.70141707283903e-4 4.70141707283903e-4 
2 9.739200407723949e-4 9.739200407723949e-4 9.739200407723949e-4 
4 2.118664729230259e-3 2.118664729230259e-3 2.118664729230259e-3 
